GTEx_bladder	GTEx_prostate	GTEx_thyroid	TCGA_bladder	TCGA_prostate	TCGA_thyroid
COL6A1	467.1726	346.0619	467.1726	34887.1391	2058	2255.5329
COL6A2	428.6732	439.3394	428.6732	53405.0744	3984.8	1484.8509
COL6A3	69.7128	20.543	69.7128	32753.2808	1550.4	860.9919
COL6A4P2	0.1938	0.2998	0.1938	0	1.2	10.2499
COL6A6	0.0138	0.0026	0.0138	12.2485	0.8	10.5269
COL7A1	1.7578	41.7003	1.7578	107.6115	474.4	3.0473
COL8A1	1.1882	6.1666	1.1882	303.5871	95.2	807.8032
COL8A2	7.1571	2.4058	7.1571	2017.4978	253.2	428.2798
COL9A1	0.047	1.4612	0.047	7.874	1898.4	1.9392
COL9A2	2.2434	10.7842	2.2434	184.6019	414.8	451.8268
COL9A3	1.0243	3.602	1.0243	65.6168	65.6	2166.8851
COLEC10	0.0134	0.0298	0.0134	0	1.2	36.0132
COLEC11	0.7877	0.413	0.7877	33.2458	37.2	56.79
COLEC12	29.5581	11.8191	29.5581	2179.3526	737.6	252.9233
COLQ	0.9218	4.2891	0.9218	44.6194	33.38	54.5738
COMMD1	7.1837	8.0404	7.1837	276.4654	421.2	278.4095
COMMD10	6.4733	7.8182	6.4733	388.4514	793.6	519.6978
COMMD2	4.9076	3.5519	4.9076	546.8066	1000.4	828.026
COMMD3	17.6643	26.246	17.6643	524.1907	1108.104	523.2742
COMMD4	10.7433	19.2571	10.7433	555.5556	917.6	804.2019
COMMD5	1.4092	0.9221	1.4092	290.0962	753.408	498.788
COMMD6	32.0299	20.0373	32.0299	2015.748	1622.4	1960.7789
COMMD7	23.0242	28.4497	23.0242	782.1522	1524.4	1419.7502
COMMD8	6.3982	4.6262	6.3982	286.0892	585.6	396.976
COMMD9	8.1231	8.8583	8.1231	293.0884	664.8	640.2034
COMP	1.8311	4.1092	1.8311	226.5967	98	57.8981
COMT	8.2682	10.4598	8.2682	1189.8513	2946	1682.0923
COMTD1	3.6722	9.282	3.6722	19.2476	222	83.6614
COPA	43.2663	36.3884	43.2663	4312.336	5016	6537.2833
COPB1	22.2357	21.2934	22.2357	2184.6019	6188.492	3733.979
COPB2	29.076	31.7404	29.076	2490.8136	4837.2	3604.0878
COPE	40.6213	80.3129	40.6213	1457.5678	4203.184	2572.1718
COPG2	7.3452	5.9035	7.3452	211.7235	342.4	561.8055
COPS2	18.6587	12.5174	18.6587	2006.1242	2464.4	1890.4147
COPS3	24.2742	13.3205	24.2742	1180.2275	1558.4	944.0992
COPS4	10.7724	6.878	10.7724	954.5057	1323.6	1109.7598
COPS5	17.849	9.3097	17.849	956.2555	1404.4	987.3151
COPS6	53.7833	52.7164	53.7833	2440.07	2166.8	1975.1842
COPS7A	30.0236	21.4037	30.0236	1624.6719	2505.6	1737.4972
COPS7B	12.7514	26.9549	12.7514	634.2957	579.2	621.0888
COPS8	16.3235	9.08	16.3235	1218.6964	1160.392	1072.0374
COPZ1	23.3451	43.0336	23.3451	1690.2887	4837.2	5119.4114
COPZ2	10.7668	13.1831	10.7668	732.2835	351.2	286.4433
COQ10A	4.055	6.6648	4.055	139.1076	160.8	226.883
COQ10B	13.5712	5.6343	13.5712	1322.8346	1119.2	882.3228
COQ2	2.5196	3.1541	2.5196	153.9808	291.6	245.9977
COQ3	4.4865	4.3985	4.4865	127.734	216	126.0461
COQ4	7.7523	26.2987	7.7523	276.4654	1038	1439.6959
COQ5	10.3789	12.1576	10.3789	252.8434	835.2	703.642
COQ6	7.236	5.2793	7.236	319.9038	523.024	333.4848
COQ7	5.4643	6.5635	5.4643	587.9265	1093.6	742.4255
COQ9	38.1269	23.9667	38.1269	2202.9746	1132	1135.8001
CORIN	0.0777	0.7109	0.0777	4.3745	70.4	11.635
CORO1A	7.4519	3.9679	7.4519	629.9213	1152.8	259.0178
CORO1B	27.3761	50.9742	27.3761	1183.727	4302	2176.3039
CORO1C	44.3321	17.4452	44.3321	11887.1391	2011.2	670.9532
CORO2A	1.1168	14.7175	1.1168	36.7454	2097.2	176.7416
CORO2B	2.2805	3.3946	2.2805	88.364	39.6	477.5901
CORO6	16.9344	15.6333	16.9344	201.2248	25.6	520.8059
CORO7	0.0203	0.0675	0.0203	293.1234	299.008	386.5737
CORT	0.1484	0.8642	0.1484	1.7323	4.8	12.0367
COTL1	19.1404	6.9485	19.1404	3265.9668	1898.4	1218.9075
COX10	6.4974	3.6439	6.4974	512.6859	243.2	301.6796
COX11	8.8935	4.9073	8.8935	885.9318	1394.16	1227.4066
COX15	11.6327	7.6409	11.6327	977.2616	1197.08	1016.2669
COX16	10.8943	18.0121	10.8943	419.9475	1637.6	1231.9276
COX17	16.5882	16.187	16.5882	481.1899	758	514.4344
COX18	2.6129	3.7384	2.6129	251.0936	689.2	354.8683
COX19	4.2042	7.0516	4.2042	203.3946	216.556	298.4689
COX4I1	72.2329	95.2609	72.2329	6078.7402	7042.4	5355.1592
COX4I2	2.6184	6.4204	2.6184	27.9965	39.2	37.1213
COX5A	42.0095	25.8609	42.0095	843.3946	1494.8	1146.6041
COX5B	90.0022	70.9383	90.0022	1468.9414	2103.2	1511.4453
COX6A1	116.3503	128.8423	116.3503	1640.4199	3183.6	2017.0148
COX6A2	0.1018	0.6779	0.1018	0	0	0
COX6B1	82.3796	91.3008	82.3796	2117.2353	3137.6	2584.0838
COX6B2	0.0991	0.4554	0.0991	0	0	0.277
COX6C	30.0487	22.7111	30.0487	2363.0796	1638.8	1878.2256
COX7A1	23.5929	19.6548	23.5929	1510.0612	348.8	328.828
COX7A2	49.0717	41.9608	49.0717	1622.9221	2950.4	1547.1814
COX7A2L	10.6954	9.6544	10.6954	1544.182	2992	1744.1458
COX7B	19.935	14.2861	19.935	1951.0061	2449.6	1628.9036
COX7B2	0	0.0299	0	0	6	0
COX7C	78.3448	61.4372	78.3448	3421.6973	4504.4	3660.8778
COX8A	208.2182	240.8533	208.2182	2321.0849	4003.2	2975.5194
COX8C	0.2942	0.0933	0.2942	1.7498	0.8	0
CP	3.7245	1.2425	3.7245	301.776	751.348	62.0258
CPA1	3.6988	3.9492	3.6988	0	2.8	0.277
CPA2	0.6392	0.6248	0.6392	0	0.4	1.1081
CPA3	13.7407	15.8834	13.7407	798.7752	584.4	4.7094
CPA4	0.0293	0.0977	0.0293	0.8749	2	0.277
CPA5	0	0.0274	0	0	1.6	0.3518
CPA6	0.0276	2.9093	0.0276	0	286.8	0.277
CPAMD8	0.8624	14.9927	0.8624	26.2467	1185.2	374.26
CPB1	1.2144	1.1319	1.2144	0.8749	56.8	0.277
CPB2	0.1141	0.0281	0.1141	0	0.4	1.1081
CPD	6.8866	5.8242	6.8866	1179.3526	3013.2	2464.4093
CPE	10.0119	118.225	10.0119	382.3272	14746.4	11718.9643
CPEB1	1.6412	0.7216	1.6412	170.6037	36	48.2022
CPEB2	4.4797	2.3472	4.4797	2426.9466	704.4	344.6184
CPEB3	1.2882	3.1201	1.2882	454.0682	292	443.5161
CPEB4	7.3366	3.4179	7.3366	4603.6745	1005.2	2718.9947
CPLX1	5.4613	9.9257	5.4613	20.9974	48.4	12.1891
CPLX2	0.0694	0.077	0.0694	2.6247	7.2	38.7834
CPLX3	0.0646	510.9736	0.0646	1.7498	192.764	0.8311
CPLX4	0	0	0	0.8749	0	0.277
CPM	4.9871	22.852	4.9871	486.4392	3274.8	247.9369
CPN1	0.0237	0	0.0237	0	0	0
CPN2	0	0	0	0	0	1.6621
CPNE1	41.5523	88.4509	41.5523	1765.888	884.904	2048.3047
CPNE2	6.2348	7.3942	6.2348	518.8101	469.2	491.4413
CPNE3	14.5178	12.7671	14.5178	1964.1295	5411.6	3722.3772
CPNE4	0.0335	31.6752	0.0335	1.7498	2124.4	1.3851
CPNE5	11.8757	2.9765	11.8757	42.8696	87.6	33.52
CPNE6	0.686	1.5065	0.686	103.2371	111.2	2.4932
CPNE7	0.4329	0.8406	0.4329	0	13.2	10.5269
CPNE8	3.128	1.5409	3.128	174.1032	155.2	277.5785
CPNE9	0	0.0687	0	0.8749	0.4	0
CPO	0.3706	1.5214	0.3706	3.4996	0	12.7431
CPOX	5.3369	3.9424	5.3369	225.7218	277.2	239.3491
CPPED1	5.9019	4.9879	5.9019	822.3972	625.2	606.6835
CPS1	0.6919	0.2559	0.6919	38.4952	14	138.2352
CPSF1	22.6791	87.9213	22.6791	1258.9676	756.4	1393.7099
CPSF2	8.7231	5.6202	8.7231	1243.2196	1530	1224.1709
CPSF3	6.7309	2.7078	6.7309	514.4357	617.6	717.7703
CPSF3L	26.4475	47.6146	26.4475	1257.2178	1348	1376.8114
CPSF4	10.8635	15.9942	10.8635	309.7113	614	339.3549
CPSF4L	0.0311	0.0518	0.0311	0	0.4	0.554
CPSF6	13.5458	13.1422	13.5458	1174.1032	1162	1366.8385
CPSF7	37.6629	31.1184	37.6629	1902.0122	1820.8	2670.5155
CPT1A	16.4133	11.5329	16.4133	2055.993	2726.8	1630.2887
CPT1B	0.1937	2.5072	0.1937	150.9886	102.024	165.0401
CPT1C	1.8222	3.4713	1.8222	37.6203	24.8	27.1484
CPT2	5.7026	2.9421	5.7026	370.0787	1072.8	668.4599
CPVL	4.3264	2.3568	4.3264	598.4252	806	3445.3528
CPXCR1	0	0	0	0	0	0
CPXM1	3.5978	4.2208	3.5978	926.5092	306	2050.5348
CPXM2	15.5748	3.3927	15.5748	6917.7603	286.8	198.6265
CPZ	0.5045	1.6795	0.5045	861.7673	160.8	350.4359
CR1	0.8241	0.2413	0.8241	161.8548	67.2	2.4932
CR1L	0	0.0189	0	0	2.8	0.277
CR2	0.0092	0.0305	0.0092	326.3342	42.4	6.0945
CRABP1	0.2526	5.4085	0.2526	11.3736	14.8	3917.1254
CRABP2	0.8961	12.4962	0.8961	139.9825	1397.6	808.9113
CRADD	2.6647	2.7108	2.6647	163.6045	510	149.0391
CRAMP1L	1.5516	1.1837	1.5516	728.7839	577.22	788.9711
CRAT	22.7218	32.9799	22.7218	1459.3176	1393.6	901.4375
CRB1	0.0244	0	0.0244	2.6247	2	13.0201
CRB2	0.015	0.0415	0.015	7.874	2.8	14.9593
CRB3	0.0536	3.5382	0.0536	3.4996	418.8	309.4363
CRBN	16.4878	10.5935	16.4878	922.1347	1532.224	1086.2294
CRCP	0.5436	0.3175	0.5436	868.7664	1487.2	1084.2736
CRCT1	0.064	0.142	0.064	0	2.8	0.277
CREB1	4.1981	3.4876	4.1981	1223.0971	1258.8	1208.9346
CREB3	40.7448	60.0619	40.7448	1318.4602	3012.692	1238.2161
CREB3L1	19.0853	31.3938	19.0853	1824.147	2343.6	49.8644
CREB3L2	8.2439	16.4448	8.2439	2597.5503	1921.2	9134.3264
CREB3L3	0.1112	0.019	0.1112	0	0	1.6621
CREB3L4	4.7008	46.3252	4.7008	70.8661	6654.8	519.1438
CREB5	1.473	1.5313	1.473	249.3438	41.6	112.4719
CREBBP	14.9265	13.337	14.9265	2915.1356	1465.2	2996.5732
CREBL2	11.5208	16.2754	11.5208	1596.6754	2607.6	2990.4787
CREBZF	17.4019	22.303	17.4019	688.5389	1195.2	1369.3317
CREG1	75.9064	20.9636	75.9064	3320.21	2967.6	4424.0801
CREG2	0	0	0	0	1.2	0.554
CRELD1	15.8429	30.2345	15.8429	1427.8215	1329.2	1922.5495
CRELD2	17.9973	20.1736	17.9973	448.8189	636.4	2467.1795
CREM	3.6504	7.1231	3.6504	1179.3526	1342.8	427.4487
CRH	0	0	0	0.8749	0	0
CRHBP	0.1071	0.2574	0.1071	12.2485	76.8	17.4525
CRHR1	0.5985	1.498	0.5985	0	5.2	4.4102
CRHR2	0.1387	0.0923	0.1387	0	0.4	2.2162
CRIM1	11.3359	7.351	11.3359	3127.734	1489.2	1840.8273
CRIP1	0.1221	0	0.1221	1088.364	538.8	1226.9412
CRIP2	20.8798	28.2581	20.8798	3620.2975	1442.4	2405.9571
CRIP3	1.6671	4.2777	1.6671	4.3745	18.8	3.0473
CRIPAK	4.7114	9.974	4.7114	132.1085	110	312.4836
CRIPT	7.4329	4.3783	7.4329	283.4646	541.2	294.754
CRISP1	0.0224	0.0249	0.0224	0	0	0
CRISP2	0.1621	0.2518	0.1621	0	68.8	0.554
CRISP3	0.5384	0	0.5384	0	758.8	0
CRISPLD1	0.3304	1.5648	0.3304	132.9834	955.6	879.8296
CRISPLD2	64.2456	72.515	64.2456	6554.6807	4193.2	652.3925
CRK	22.2595	9.9184	22.2595	1067.3666	1199.6	1130.8137
CRKL	18.1865	8.0055	18.1865	1482.9396	1600.8	1613.6673
CRLF1	8.6752	3.9939	8.6752	238.8451	4	323.8416
CRLF2	0.0744	0.0825	0.0744	0.8749	0.8	0
CRLF3	2.4937	2.0394	2.4937	192.4759	360.4	165.9376
CRLS1	8.4199	13.3983	8.4199	626.4217	1360.8	997.0109
CRMP1	4.3529	7.4332	4.3529	143.5258	86.968	96.4904
CRNKL1	8.4696	5.1782	8.4696	711.2861	1186.8	884.262
CRNN	0.636	0.3659	0.636	0	0	0.277
CROCC	5.8678	10.0923	5.8678	412.9484	206	283.119
CROT	3.624	8.2777	3.624	362.2047	1162	1691.7882
CRP	1.1451	0.0987	1.1451	0	0	0
CRTAC1	2.5298	0.6355	2.5298	62.9921	139.6	343.7873
CRTAM	0.017	0.1607	0.017	2.6247	30	7.4797
CRTAP	48.3272	25.1946	48.3272	11933.5083	4592.8	4208.278
CRTC1	9.3008	6.511	9.3008	571.3036	438.4	1008.3689
CRTC2	21.4129	31.354	21.4129	776.9029	636	1090.3681
CRTC3	19.9687	8.1503	19.9687	2839.0201	762	1935.0156
CRX	0.0046	0	0.0046	0	0	0.277
CRY1	8.962	6.3507	8.962	734.9081	740.8	501.4142
CRY2	22.7624	25.579	22.7624	2794.4007	1378.8	4040.9553
CRYAA	0	0.029	0	0	0	0
CRYAB	89.4957	58.0887	89.4957	48648.294	1214.8	3825.4303
CRYBA1	0.0564	0.0313	0.0564	0.8749	0	0
CRYBA2	0	3.2268	0	0	15.6	0
CRYBA4	0.1105	0	0.1105	0	3.6	0.8311
CRYBB1	0.4879	0	0.4879	13.1234	5.6	0.8311
CRYBB2	0.2276	0.7014	0.2276	0	5.6	3.0473
CRYBB3	0.1034	0.8314	0.1034	0	0.4	6.0945
CRYBG3	1.4773	0.5192	1.4773	645.2493	325.144	2407.6858
CRYGA	0	0	0	0	0	0
CRYGB	0.0699	0	0.0699	0	0	0
CRYGC	0	0	0	0	0	0
CRYGD	0	0	0	0	0.8	0
CRYGN	0.8825	0.1922	0.8825	2.6247	4.4	353.7602
CRYGS	1.0016	5.0147	1.0016	0.8749	5.2	10.804
CRYL1	11.9324	22.1608	11.9324	557.3053	2236.8	914.7347
CRYM	1.6382	7.716	1.6382	698.1627	1050.4	6.3716
CRYZ	6.8416	6.3649	6.8416	1070.2975	1024.788	1514.8194
CRYZL1	5.6526	5.9153	5.6526	466.273	479.548	499.3338
CS	56.0361	36.253	56.0361	3416.4479	2113.2	2192.9254
CSAD	8.3201	31.7341	8.3201	78.7402	266	215.525
CSAG1	0.0205	0	0.0205	0.8749	1.6	1.1081
CSAG2	0	0	0	0	0	0
CSAG3	0	0	0	0.8749	15.2	0.277
CSDC2	10.7855	17.3827	10.7855	615.923	55.6	11.081
CSDE1	163.2069	75.0387	163.2069	33030.6212	14867.2	15792.6084
CSE1L	20.8507	13.6625	20.8507	1721.7848	1712.4	1395.372
CSF1	40.8344	9.4647	40.8344	1627.2966	265.2	235.7478
CSF1R	5.2917	7.437	5.2917	1427.8215	566.8	173.4173
CSF2	0.0286	0.0635	0.0286	2.6247	1.6	0.554
CSF2RA	0	0	0	50.7437	197.2	24.1011
CSF2RB	2.2176	1.0068	2.2176	342.0822	411.6	91.4181
CSF3	6.0693	2.7978	6.0693	1461.9423	109.2	4.1554
CSF3R	1.0351	6.7652	1.0351	299.2126	94	58.7292
CSGALNACT1	4.9706	15.1407	4.9706	1313.2108	2763.6	8004.8978
CSGALNACT2	13.225	6.9032	13.225	1364.8294	584	351.821
CSH1	0	0	0	0	0	0
CSH2	0.0191	0	0.0191	0	0	0
CSHL1	0.1085	0	0.1085	0	0	0
CSK	9.1229	14.8925	9.1229	611.5486	1054.8	668.4599
CSMD1	0.0273	0.062	0.0273	5.2493	18.8	4.7094
CSMD2	0.037	0.4369	0.037	5.2493	8.8	7.4797
CSMD3	0.0099	0.2799	0.0099	1.7498	12	1.1081
CSN1S1	0.0913	0	0.0913	0	0	0
CSN2	0	0	0	0	0	0
CSN3	0	0	0	0.8749	0	0
CSNK1A1	27.3529	48.5762	27.3529	8498.6877	8216.4	4471.4512
CSNK1A1L	0.0186	0	0.0186	2.6247	21.6	0.8311
CSNK1D	44.753	58.216	44.753	3509.1864	3717.2	3721.8232
CSNK1E	19.9534	47.0928	19.9534	1718.2852	1634.936	1545.3198
CSNK1G1	2.7424	2.5762	2.7424	379.7025	372.4	775.1143
CSNK1G2	16.9936	36.505	16.9936	727.0341	882.8	755.9997
CSNK1G3	4.3162	4.7994	4.3162	599.3001	729.2	561.5285
CSNK2A1	16.3816	13.7233	16.3816	954.5057	1049.6	1136.0772
CSNK2A2	11.0417	7.8695	11.0417	580.0525	488	506.6777
CSNK2B	49.7935	91.9873	49.7935	1586.2205	2057.108	2530.7566
CSPG4	25.3825	7.2681	25.3825	7148.7314	172.4	228.8222
CSPG5	0.0872	0.3814	0.0872	11.3736	19.2	10.2499
CSPP1	2.4279	2.1235	2.4279	269.4663	179.848	345.1724
CSRNP1	30.7381	44.0832	30.7381	17479.4401	1878	3405.7383
CSRNP2	9.3963	5.1588	9.3963	882.7647	675.2	666.2437
CSRNP3	0.4368	0.4055	0.4368	48.119	34.8	27.9795
CSRP1	705.5033	237.056	705.5033	114113.7358	21014.4	10225.2486
CSRP2	26.5915	28.6139	26.5915	860.0175	1670	655.4398
CSRP2BP	7.3934	4.5584	7.3934	744.5319	729.2	860.7149
CSRP3	0	0.2206	0	0	0	0
CST1	0	5.302	0	0	219.2	0
CST11	0.9895	0	0.9895	0.8749	0.4	0
CST2	0	0.7975	0	0	1.2	0
CST3	203.8268	231.414	203.8268	8062.1172	9631.6	4535.9979
CST4	0.0298	0	0.0298	0	31.2	1.9392
CST5	0	0.3288	0	0.8749	0	0
CST6	0.1476	0.786	0.1476	0	20.8	293.0918
CST7	2.6015	4.5972	2.6015	69.1164	234.8	18.5606
CST8	0.0488	0	0.0488	0	0	0
CST9	0	0	0	0	0	0
CST9L	0	0.0518	0	0	0	0
CSTA	1.1911	4.9062	1.1911	46.3692	335.6	6.6486
CSTB	33.1627	27.3275	33.1627	1342.9571	2672.4	1708.4096
CSTF1	7.7518	6.7267	7.7518	327.2091	831.2	641.0345
CSTF2	3.5671	3.5392	3.5671	174.1032	273.6	255.6935
CSTF2T	19.1907	2.8613	19.1907	1159.2301	1025.2	1132.4759
CSTF3	4.1055	6.9353	4.1055	363.0796	626.444	752.9025
CSTL1	0	0	0	0	0	0
CT45A1	0	0	0	0	0.8	0
CT45A2	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0
CT45A4	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0
CT62	0.0157	0.6805	0.0157	1.7498	16.8	4.4324
CTAG1B	0	0	0	0	44	0
CTAG2	0	0	0	0	0.8	0
CTAGE1	0.0311	0	0.0311	5.2493	22.4	11.081
CTAGE4	0.0173	0.3073	0.0173	1.7498	50.8	137.4041
CTAGE5	1.1034	0.3339	1.1034	538.049	1519.584	1320.52
CTAGE6	0.0344	0.0191	0.0344	0	5.6	18.8377
CTAGE9	0.0085	0.0189	0.0085	11.3736	142.4	382.8478
CTBP1	14.3355	24.1165	14.3355	1996.343	2430.632	2325.2073
CTBP2	5.6254	6.0667	5.6254	1196.8504	2064	2560.2597
CTBS	5.3519	6.7151	5.3519	300.9361	2627.584	532.9784
CTCF	14.0758	10.3428	14.0758	1202.0997	1188	1489.8374
CTCFL	0.0226	0	0.0226	10.6999	22.964	16.5522
CTDP1	8.0348	6.3002	8.0348	509.1864	477.6	457.0903
CTDSP1	40.2511	100.4817	40.2511	3254.5932	3714.4	4021.5636
CTDSP2	108.2319	56.3584	108.2319	6050.7437	3951.2	4057.5768
CTDSPL	11.3324	14.8514	11.3324	2176.7279	1458.8	708.9055
CTDSPL2	2.184	0.9677	2.184	587.9265	1013.2	746.8579
CTF1	8.845	6.6474	8.845	434.8206	185.2	293.6459
CTGF	67.8857	112.2008	67.8857	161937.0079	2314	17641.7465
CTH	1.9395	3.192	1.9395	33.2458	193.2	210.5386
CTHRC1	2.9768	2.3233	2.9768	640.4199	65.2	52.9117
CTLA4	0.2008	0.5042	0.2008	11.3736	50	5.8175
CTNNA1	54.0649	45.4339	54.0649	8635.1706	5804.8	8737.3504
CTNNA2	0.0481	0.1389	0.0481	7.874	3.2	1.6621
CTNNA3	0.0728	0.0404	0.0728	67.3666	1.2	2.7702
CTNNAL1	12.035	8.1188	12.035	1570.4287	780	3615.4458
CTNNB1	58.5712	41.7768	58.5712	7641.2686	10057.148	8966.674
CTNNBIP1	4.416	18.9976	4.416	363.0796	2446.4	1295.0892
CTNNBL1	11.3569	9.65	11.3569	1104.9869	805.2	759.878
CTNND1	33.4262	51.2915	33.4262	4475.9405	5210	9878.137
CTNND2	0.0392	1.0126	0.0392	3.4996	150	8.3107
CTNS	5.6748	10.2096	5.6748	238.2765	501.54	288.3076
CTPS2	3.4274	6.3879	3.4274	451.4436	735.2	473.4347
CTR9	12.6859	5.5448	12.6859	1041.9948	1215.6	1694.8354
CTRB1	1.1245	1.3701	1.1245	0	0	0.277
CTRB2	1.0336	2.9604	1.0336	0.8749	1.6	0.277
CTRC	0.1671	0.3993	0.1671	0	0	0.554
CTRL	0.8111	2.8714	0.8111	2.6247	3.6	4.7094
CTSA	75.4057	21.018	75.4057	2302.2047	1270.064	1156.2168
CTSB	123.5986	82.4055	123.5986	13477.6903	16034.8	81710.8474
CTSC	7.7678	2.0004	7.7678	1587.9265	844	1103.9423
CTSD	119.652	182.1927	119.652	7750.6562	10193.6	9756.5232
CTSE	0.0334	0.074	0.0334	0.8749	113.2	77.0128
CTSF	40.9286	55.1254	40.9286	2041.1199	1965.6	1259.9071
CTSG	4.627	5.3024	4.627	516.1855	84	0.277
CTSH	8.7143	36.3838	8.7143	837.2703	5961.6	911.4104
CTSK	15.6944	20.3781	15.6944	2772.5284	1169.2	261.7881
CTSO	8.4405	11.1157	8.4405	866.1417	1668.4	1600.0931
CTSS	4.0586	2.6632	4.0586	1223.972	2261.6	458.4754
CTSW	0.4859	1.1323	0.4859	6.9991	113.2	119.3975
CTSZ	70.9068	69.3163	70.9068	3979.8775	2335.6	3126.2206
CTTN	43.6965	99.5215	43.6965	3035.8705	3493.6	4153.4272
CTTNBP2	2.4297	1.068	2.4297	676.2905	115.2	463.4619
CTTNBP2NL	5.6054	3.8737	5.6054	922.1347	958	513.3263
CTU1	5.3885	5.0261	5.3885	34.9956	18.8	37.3983
CTU2	8.422	4.6336	8.422	248.9151	242.352	273.991
CTXN1	7.2383	12.8974	7.2383	376.203	104.4	23.2701
CTXN2	0.0081	0	0.0081	0	3.2	0
CTXN3	0.0213	0	0.0213	0	1.2	1.9392
CUBN	0.2909	1.2119	0.2909	19.2476	49.2	445.1783
CUEDC1	15.4258	22.3671	15.4258	1281.7148	424	399.4692
CUEDC2	31.2389	34.2573	31.2389	1004.3745	1044.8	993.1326
CUL1	34.5815	18.7126	34.5815	2549.4313	1529.424	1327.6589
CUL2	7.7635	3.9884	7.7635	1003.4996	878.4	629.9535
CUL3	9.1556	6.0753	9.1556	1724.4094	1906	2248.3302
CUL4A	16.6794	15.7294	16.6794	2104.9869	2193.6	1697.6057
CUL4B	12.8179	9.107	12.8179	2048.119	1639.6	1390.1086
CUL5	5.7003	4.74	5.7003	1215.2231	1561.2	1275.4205
CUL7	5.898	17.4866	5.898	664.7507	751.864	1308.2949
CUL9	6.9477	14.0238	6.9477	825.8968	492.4	1012.8013
CUTA	46.3542	77.0634	46.3542	1317.5853	2473.6	3275.5368
CUTC	35.8563	9.9427	35.8563	470.2712	346.216	289.2495
CUX1	9.791	7.7507	9.791	2640.4199	1707.2	2973.3032
CUX2	0.0176	9.5975	0.0176	2.6247	1830.8	586.7377
CUZD1	0.2692	0.7148	0.2692	7.1916	5.6	8.7983
CWC15	14.742	17.4764	14.742	559.0551	1157.2	1051.5847
CWC22	10.1307	7.7603	10.1307	944.007	670	1075.1318
CWC25	13.9837	16.531	13.9837	496.063	352.4	494.2116
CWC27	7.8156	5.1476	7.8156	580.9274	420	516.6506
CWF19L1	5.571	4.3414	5.571	337.7078	576.8	543.5219
CWF19L2	6.453	4.924	6.453	524.0595	472.8	619.7036
CWH43	0.0166	17.8471	0.0166	0	1720.4	638.8183
CX3CL1	12.3111	20.7396	12.3111	4918.6352	1615.6	860.7149
CX3CR1	0.2942	0.1904	0.2942	27.1216	158	51.8036
CXADR	0.1408	6.2793	0.1408	0.8749	941.2	531.8869
CXADRP2	0	0.4793	0	0	4.8	0
CXADRP3	0	0.0509	0	0	5.6	0.8311
CXCL1	0.7778	1.4768	0.7778	612.4234	883.2	3.3243
CXCL10	0.6875	1.1019	0.6875	57.7428	564.4	19.1147
CXCL11	0.0704	0.1563	0.0704	14.8731	352.8	7.2026
CXCL12	7.2603	1.619	7.2603	3637.7953	1294	1422.5204
CXCL13	0.1117	0	0.1117	216.9729	366	2.4932
CXCL14	93.4151	2.0682	93.4151	1308.8364	531.6	414.9826
CXCL16	3.6829	10.9997	3.6829	442.6947	1182.4	380.0775
CXCL17	0.4145	3.0731	0.4145	0	947.2	10.2499
CXCL2	1.9746	2.5499	1.9746	1214.3482	136.8	120.5056
CXCL3	0.0808	0.2688	0.0808	62.9921	34.8	11.081
CXCL5	0.0177	0.0196	0.0177	9.6238	27.2	2.2162
CXCL6	0.1129	0.3416	0.1129	6.9991	303.6	0.277
CXCL9	0.7685	0.8527	0.7685	80.4899	1340.8	67.3169
CXCR1	0	0.8892	0	116.3605	16.8	3.6013
CXCR2	0.0416	0.5385	0.0416	110.2362	30.8	4.9864
CXCR2P1	0.0537	0.0596	0.0537	0.8749	12	1.6621
CXCR3	0.024	0.1065	0.024	9.6238	60.8	39.3375
CXCR4	3.5356	22.5208	3.5356	674.5407	1678.4	594.2174
CXCR5	0.0987	0	0.0987	49.8688	60.8	3.0473
CXCR6	0.2972	0.5672	0.2972	10.4987	183.6	124.661
CXorf21	0.1087	0.3886	0.1087	23.622	38	5.8175
CXorf22	0.0124	0.0275	0.0124	0	0.8	15.7904
CXorf23	2.1831	2.4338	2.1831	182.8521	207.6	241.8423
CXorf27	0	0	0	0	0	0
CXorf30	0	0.0148	0	0	0	6.9256
CXorf36	9.5208	6.2623	9.5208	471.5661	347.2	527.7315
CXorf38	2.13	2.0105	2.13	64.7419	257.6	283.673
CXorf40A	2.7675	5.8144	2.7675	267.7165	447.6	360.9628
CXorf40B	7.0982	21.6469	7.0982	312.336	402	423.8474
CXorf48	0	0	0	0	0	0.554
CXorf49B	0	0	0	0	0	0
CXorf56	5.3297	4.1873	5.3297	200.35	271.2	268.9907
CXorf57	0.4755	0.3944	0.4755	20.1225	37.6	175.3565
CXorf58	0	0.1424	0	0	0.4	5.5405
CXorf61	0	0	0	0	0	0
CXorf64	0	0	0	1.7498	0	0
CXorf65	0.0216	0.2632	0.0216	0.8749	0	0
CXorf66	0	0	0	0	0	0
